SESSION,FILLE-ID,S,E,SPEAKER,UH_OR_UM,WITH_OR_OMIT_FILLER,NOW_CROSS,FUT_CROSS,FILLER_F0,FILLER_INT,LOC,WORDS_IN_DA,DA,DIFF_NOW_CROSS,DIFF_FUT_CROSS
2006,6505,104.08925,104.467875,1,um,1,251,242,-0.779,-0.859,5,29,sd,250.0,241.0
2006,272,110.83825,111.468875,1,uh,1,0,0,-0.701,-1.068,25,29,sd,-4.0,-3.0
2006,6506,131.236375,131.801625,1,um,1,75,78,-1.204,-1.355,17,19,sd,-27.0,-24.0
2006,6507,139.671875,140.046625,1,um,1,221,214,-0.52,-0.619,5,6,+,199.0,202.0
2006,273,156.13325,156.468625,1,uh,1,273,274,-0.51,-1.063,42,52,sd,179.0,167.0
2006,274,178.655125,179.01725,1,uh,1,221,220,-0.691,-0.946,11,21,sd,107.0,115.0
2006,6508,204.443125,205.147,1,um,1,295,313,-1.008,-1.065,17,21,sd,52.0,67.0
2006,275,208.343125,208.559625,1,uh,1,499,499,-0.414,-0.944,6,11,sd,500.0,500.0
2006,265,21.149875,21.553625,1,uh,1,232,224,-0.858,-1.201,5,12,qy,48.0,46.0
2006,276,213.563125,213.780625,1,uh,1,0,4,-0.581,-1.11,2,14,sd,-21.0,-243.0
2006,277,225.509625,225.80025,1,uh,1,0,0,-0.544,-0.597,2,6,sd,-37.0,-31.0
2006,278,229.199625,229.4435,1,uh,1,273,271,-1.541,-1.087,2,13,sd,0.0,2.0
2006,279,232.63175,233.10475,1,uh,1,221,214,-1.309,-1.186,0,14,sd,194.0,194.0
2006,280,241.4555,241.6875,1,uh,1,0,0,-1.533,-1.244,4,10,sd,0.0,0.0
2006,281,242.5555,242.84125,1,uh,1,0,0,-1.676,-1.709,6,10,sd,-12.0,-3.0
2006,282,253.21025,253.59375,1,uh,1,0,0,-1.428,-1.216,25,33,sd,-13.0,-8.0
2006,283,253.981,254.432625,1,uh,1,0,0,-1.557,-1.657,26,33,sd,0.0,0.0
2006,6500,28.540875,29.171875,0,um,1,-1,-1,-1.045,-1.31,1,15,sd,0.0,0.0
2006,263,285.69875,285.966375,0,uh,1,0,0,-2.879,-1.066,10,46,sd,-43.0,-38.0
2006,264,291.21875,291.33875,0,uh,1,39,16,-0.894,-1.027,29,46,sd,4.0,-9.0
2006,6502,297.247125,297.800875,0,um,1,56,4,-1.099,-1.234,1,25,sd,-17.0,-52.0
2006,6503,302.256125,302.604,0,um,1,0,200,-3.256,-1.529,16,25,sd,-140.0,104.0
2006,284,330.203375,330.50225,1,uh,1,-1,-1,-0.742,-1.084,8,20,sd,0.0,0.0
2006,285,333.17725,333.52475,1,uh,1,299,293,-1.549,-1.322,16,20,sd,45.0,44.0
2006,286,336.553375,336.77,1,uh,1,239,240,-0.432,-0.664,6,11,sd,35.0,34.0
2006,6509,347.16825,347.756875,1,um,1,253,256,-1.555,-1.128,2,34,+,22.0,26.0
2006,287,365.10375,365.229375,1,uh,1,0,11,-1.39,-1.051,3,23,sd,-4.0,-5.0
2006,288,366.50375,366.783625,1,uh,1,235,233,-0.801,-0.833,6,23,sd,30.0,30.0
2006,289,369.84225,370.3685,1,uh,1,36,17,-1.464,-1.672,15,23,sd,-25.0,-31.0
2006,6510,385.242625,385.552625,1,um,1,0,0,-1.554,-1.481,0,6,sd,-19.0,-6.0
2006,290,390.35075,390.672375,1,uh,1,3,102,-1.106,-0.3,0,6,sd,0.0,102.0
2006,291,397.992625,398.34675,1,uh,1,275,274,0.393,0.073,1,9,o,81.0,69.0
2006,292,417.148625,417.37625,1,uh,1,-1,-1,-0.871,-0.837,8,32,sv,0.0,0.0
2006,6501,55.55175,55.9195,0,um,1,239,231,-1.067,-1.196,8,15,sd,50.0,55.0
2006,266,91.028375,91.22625,1,uh,1,-1,-1,-0.423,-0.721,1,7,%,0.0,0.0
2006,267,91.955625,92.192375,1,uh,1,-1,-1,-0.991,-1.694,3,7,%,0.0,0.0
2006,268,92.546375,92.986875,1,uh,1,-1,-1,-1.331,-1.288,4,7,%,0.0,0.0
2006,269,95.220375,95.611875,1,uh,1,-1,-1,-0.887,-1.41,8,12,sd,0.0,0.0
2006,270,98.608375,98.76525,1,uh,1,-1,-1,-0.947,-0.961,7,18,sd,0.0,0.0
2006,271,99.108,99.579375,1,uh,1,-1,-1,-1.624,-1.615,8,18,sd,0.0,0.0
2010,6558,113.205375,113.877375,0,um,1,-1,-1,-0.974,-0.56,0,24,sd,0.0,0.0
2010,401,128.43625,128.6965,1,uh,1,-1,-1,-0.155,0.211,1,2,%,0.0,0.0
2010,6560,133.840875,134.342375,1,um,1,-1,-1,-1.087,-0.667,0,4,%,0.0,0.0
2010,402,169.558625,169.855875,1,uh,1,341,412,-0.864,-0.023,4,7,%,15.0,22.0
2010,403,179.342875,179.88725,1,uh,1,33,15,-1.608,-1.83,28,43,sv@,17.0,9.0
2010,404,256.269625,256.60975,1,uh,1,286,297,-1.181,-0.986,8,18,sv,286.0,81.0
2010,6559,270.4765,271.059,0,um,1,-1,-1,-0.425,-0.713,0,1,%,0.0,0.0
2010,400,47.388375,47.76475,1,uh,1,288,340,-1.075,-1.489,0,20,sd,254.0,289.0
2010,6557,53.060125,53.4805,0,um,1,-1,-1,-0.89,-0.755,0,12,sd,0.0,0.0
2012,258,102.717,102.991375,0,uh,1,-1,0,-1.564,0.728,11,12,qr,-1.0,0.0
2012,259,109.717,109.9515,0,uh,1,256,223,-3.487,-12.001,6,22,sd,17.0,18.0
2012,6494,115.537,116.027,0,um,1,499,499,-2.322,-15.325,0,18,sd,24.0,500.0
2012,6495,123.263125,123.563125,0,um,1,239,227,-2.384,-3.005,6,16,sv,3.0,2.0
2012,260,323.242,323.683375,0,uh,1,-1,-1,-2.893,-20.143,11,23,sd,0.0,0.0
2012,261,330.806875,331.201,0,uh,1,167,64,-3.027,-20.122,1,13,sd,109.0,28.0
2012,255,42.759375,42.91175,0,uh,1,59,36,-2.425,-3.339,14,34,sv,-8.0,-13.0
2012,6496,431.775,432.236,0,um,1,0,299,-1.983,-3.612,0,4,%,0.0,299.0
2012,256,45.944125,46.159625,0,uh,1,6,7,-2.355,-19.833,24,34,sv,6.0,7.0
2012,6497,467.767625,468.5285,0,um,1,108,86,-2.298,-17.505,0,9,sv,-25.0,-30.0
2012,257,47.234125,47.511375,0,uh,1,30,17,-3.116,-21.001,28,34,sv,-9.0,-14.0
2012,6493,48.810625,49.252625,0,um,1,0,0,-3.145,-20.311,29,34,sv,0.0,0.0
2012,6498,518.464,518.934,0,um,1,232,217,-2.784,-20.355,7,8,%,83.0,123.0
2012,6499,568.408375,568.92375,0,um,1,-1,-1,-2.652,-8.148,19,35,na,0.0,0.0
2012,262,89.128625,89.8055,1,uh,1,334,324,-2.059,-1.236,16,42,sd,43.0,41.0
2019,348,122.986875,123.335375,0,uh,1,349,309,-1.69,-0.912,10,16,sd,33.0,29.0
2019,349,144.711125,145.2045,0,uh,1,269,259,-0.803,-0.892,7,21,sd,43.0,42.0
