session,speaker,filler,start,end,utt_idx,utt_start,utt_end,utt_n_words
2001,A,um,236.996625,237.34425,sw2001A-ms98-a-0047,234.646625,239.418375,9
2001,B,uh,184.866375,185.097625,sw2001B-ms98-a-0042,183.516375,188.589875,19
2005,A,um,1.985,2.48225,sw2005A-ms98-a-0001,0.0,11.287375,28
2005,A,uh,8.45625,8.851,sw2005A-ms98-a-0001,0.0,11.287375,28
2005,A,um,111.458625,111.907875,sw2005A-ms98-a-0013,97.97125,112.2395,40
2005,A,um,124.99075,125.439375,sw2005A-ms98-a-0014,112.2395,125.702,36
2005,A,uh,160.42475,160.582375,sw2005A-ms98-a-0018,155.86075,160.67675,17
2005,A,uh,175.680875,175.9785,sw2005A-ms98-a-0020,173.970875,185.29425,30
2005,A,um,189.0115,189.5965,sw2005A-ms98-a-0021,185.29425,197.98025,46
2005,A,um,313.850625,314.380875,sw2005A-ms98-a-0039,312.840875,325.431625,48
2005,A,uh,431.775625,432.174,sw2005A-ms98-a-0059,429.434375,439.727125,32
2005,A,uh,434.38775,434.813375,sw2005A-ms98-a-0059,429.434375,439.727125,32
2005,B,uh,19.2985,19.50175,sw2005B-ms98-a-0002,10.4425,21.679,43
2005,B,uh,54.787375,54.871625,sw2005B-ms98-a-0007,45.258625,56.448,34
2005,B,uh,65.408,65.608,sw2005B-ms98-a-0008,56.448,65.94675,33
2005,B,uh,74.09375,74.297875,sw2005B-ms98-a-0010,71.492875,74.498375,9
2006,A,um,28.540875,29.171875,sw2006A-ms98-a-0004,26.010875,34.825125,21
2006,A,um,55.55175,55.9195,sw2006A-ms98-a-0006,47.291625,60.26975,46
2006,A,uh,285.69875,285.966375,sw2006A-ms98-a-0043,282.05875,291.780875,35
2006,A,uh,291.21875,291.33875,sw2006A-ms98-a-0043,282.05875,291.780875,35
2006,A,um,297.247125,297.800875,sw2006A-ms98-a-0044,291.780875,298.094,18
2006,A,um,302.256125,302.604,sw2006A-ms98-a-0045,298.094,311.87525,55
2006,B,uh,21.149875,21.553625,sw2006B-ms98-a-0006,19.170875,24.51525,11
2006,B,uh,91.955625,92.192375,sw2006B-ms98-a-0012,90.148375,100.09825,29
2006,B,uh,98.608375,98.76525,sw2006B-ms98-a-0012,90.148375,100.09825,29
2006,B,uh,99.108,99.579375,sw2006B-ms98-a-0012,90.148375,100.09825,29
2006,B,uh,110.83825,111.468875,sw2006B-ms98-a-0013,100.09825,113.193625,38
2006,B,um,131.236375,131.801625,sw2006B-ms98-a-0015,125.592625,132.176625,18
2006,B,um,139.671875,140.046625,sw2006B-ms98-a-0016,132.176625,140.673125,24
2006,B,um,204.443125,205.147,sw2006B-ms98-a-0024,201.723125,214.151875,39
2006,B,uh,213.563125,213.780625,sw2006B-ms98-a-0024,201.723125,214.151875,39
2006,B,uh,225.509625,225.80025,sw2006B-ms98-a-0027,224.679625,233.3455,28
2006,B,uh,229.199625,229.4435,sw2006B-ms98-a-0027,224.679625,233.3455,28
